batch_size,avg_time_ms,std_time_ms,throughput_per_sec,latency_per_sample_ms
1,46.18374759003018,3.0460199871860256,21.6526386917954,46.18374759003018
2,46.22538489001272,2.479864369486298,43.26627035683401,23.11269244500636
4,48.37251511999966,13.766021915181286,82.69158612234732,12.093128779999915
8,47.75903789994118,2.2797933575759814,167.50756195634867,5.969879737492647
16,46.77193905997228,1.9585944830120408,342.0854538334268,2.9232461912482677
32,44.21038522004892,2.203661615550079,723.8118338197232,1.3815745381265288
64,46.30615415001557,2.180594540710632,1382.1057087285337,0.7235336585939933
128,47.98482633002095,2.4741895813574466,2667.509914898219,0.3748814557032887
256,51.63689442998475,3.2482342406453473,4957.695516470579,0.20170661886712793
512,57.333677799952056,3.009182637165263,8930.178904386074,0.11197983945303136
