batch_size,avg_time_ms,std_time_ms,throughput_per_sec,latency_per_sample_ms
1,1.9476470600511675,2.523433843967325,513.4400480001385,1.9476470600511675
2,1.5189091799948073,0.4594219317244477,1316.7344212159132,0.7594545899974037
4,1.5504359900569398,0.22807634108259872,2579.919471459831,0.38760899751423494
8,1.5017547699790157,0.2802530153900698,5327.101441543472,0.18771934624737696
16,1.5086885200707911,0.20087796932497573,10605.23745434826,0.09429303250442445
32,1.4879714000016975,0.12372247898708057,21505.78969458922,0.046499106250053046
64,1.5221597300205758,0.11691441512255855,42045.52172664223,0.023783745781571497
128,1.5565344900278433,0.2997119318195997,82233.96321768002,0.012160425703342526
256,1.7061801400086551,0.4897520137573546,150042.77332562397,0.006664766171908809
512,2.0343323800261714,1.0315383091890016,251679.61982368544,0.003973305429738616
